window_start	entropy_nose	entropy_left_wrist	entropy_right_wrist	entropy_shoulders	postural_stability	velocity_nose	velocity_left_wrist	velocity_right_wrist	gaze_proxy	symmetry	state
0	0.01426098349	0.04646030053	0.07485661332	0.002054855041	0.001106126592	0.02290835593	0.03633208475	0.03212535593	0.02290835593	0.002885629316	N
5	0.01458530696	0.04447066925	0.0555980174	0.002685285558	0.001218201646	0.02341820339	0.04029289831	0.02989677966	0.02341820339	0.002973121515	N
10	0.01098032927	0.04063132364	0.07079509553	0.002298620071	0.0009287909852	0.024766	0.04478742373	0.03041688136	0.024766	0.003104017583	N
15	0.005206477244	0.04133251244	0.07414093796	0.001804541531	0.0004597679364	0.02226023729	0.04461564407	0.03312357627	0.02226023729	0.002663978518	N
20	0.004057858359	0.0391396728	0.07908367637	0.001774658107	0.0004101487288	0.01480238983	0.03459708475	0.02754325424	0.01480238983	0.0004768710366	N
25	0.004166776923	0.03704455506	0.0684348343	0.001902995193	0.0001945244236	0.01472835593	0.039788	0.02630362712	0.01472835593	0.0009888554169	N
30	0.004791191555	0.03402929965	0.05843531995	0.002090106807	0.0001716826407	0.0132420339	0.04025757627	0.02706984746	0.0132420339	0.0007393632926	N
35	0.00684341581	0.03511260667	0.06972545909	0.001462586369	0.0002898838108	0.01372457627	0.03867164407	0.02644805085	0.01372457627	0.0006311655966	N
40	0.007303547456	0.03508449638	0.084972523	0.0008048235055	0.0004297692737	0.01593415254	0.04623537288	0.0299119322	0.01593415254	0.001917832658	N
45	0.007041447301	0.03439853275	0.08597456849	0.0009117872691	0.0004506991666	0.01477384746	0.04280371186	0.02646825424	0.01477384746	0.002083013323	N
50	0.005974675556	0.03502846695	0.09570235122	0.001095498025	0.0004339610094	0.01544608475	0.04015127119	0.02627437288	0.01544608475	0.001101279844	N
55	0.004612370473	0.03188794898	0.1098997309	0.0006965092442	0.0004450932266	0.01410016949	0.03520230508	0.02503467797	0.01410016949	0.000612994557	N
60	0.004210811674	0.02675458693	0.1214902324	0.0006726822557	0.0005426561805	0.01106325424	0.03386489831	0.02431866102	0.01106325424	0.0009554015507	N
65	0.008621824501	0.02886805681	0.1064893181	0.00356667056	0.0006290166433	0.02163362712	0.03891911864	0.02787266102	0.02163362712	0.0006892100814	N
70	0.009010316426	0.03029238411	0.105920144	0.003874961348	0.000658457524	0.02103205085	0.02827071186	0.0251179322	0.02103205085	0.0009726100493	N
75	0.009904112459	0.03418870254	0.1011815833	0.004255899326	0.000601732367	0.02149264407	0.02883433898	0.02562262712	0.02149264407	0.001042514692	N
