window_start,entropy_nose,entropy_left_wrist,entropy_right_wrist,entropy_shoulders,postural_stability,velocity_nose,velocity_left_wrist,velocity_right_wrist,gaze_proxy,symmetry,state
0.0,0.0007002265811692091,0.04349818076117373,0.08723479701365397,0.0017660126965689266,0.00016628814082895175,0.010866050847457627,0.030807118644067804,0.02926783050847458,0.010866050847457627,0.00680360963206215,N
5.0,0.0010229979385782489,0.07021907852744125,0.1024440409758435,0.0014542774190211866,0.00015971993563077534,0.018087220338983055,0.031797491525423736,0.036345949152542384,0.018087220338983055,0.0033301841802418084,N
10.0,0.009176501336337572,0.08340144312987996,0.10400333502067997,0.012820196799846046,0.000706925285133601,0.03285698305084746,0.04112481355932204,0.05145361016949153,0.03285698305084746,0.0005369393242754244,N
15.0,0.027919130747754803,0.10596110942606782,0.10737906442568526,0.02599668770816892,0.0032188947741620603,0.03994118644067797,0.048407084745762705,0.06051052542372882,0.03994118644067797,0.0008737039770906792,N
20.0,0.028217203597509042,0.084206489708315,0.10157510014408783,0.027213243275919775,0.003178728025938026,0.041817932203389835,0.04341157627118644,0.06433557627118644,0.041817932203389835,0.005449955609075989,N
25.0,0.027560738719857057,0.08557213336070282,0.09976627254021894,0.02927299365692825,0.0031486970890068646,0.04303033898305084,0.04243303389830509,0.06209320338983051,0.04303033898305084,0.005297627339949159,N
30.0,0.027326888243843786,0.09438433318788868,0.09178472289859181,0.03031146324813504,0.003465634809181282,0.042556728813559326,0.049665559322033904,0.06848650847457627,0.042556728813559326,0.005065010388937858,N
35.0,0.026383749189027684,0.11560340850653526,0.08683007843020736,0.03146035761303587,0.0034040793674436198,0.040992474576271185,0.05272838983050848,0.07273889830508475,0.040992474576271185,0.0025633297981268333,N
40.0,0.020676746910426834,0.08998769851104126,0.06753378214965819,0.021867979904785312,0.0030958570172167537,0.026715067796610165,0.04614171186440678,0.06355113559322034,0.026715067796610165,0.004961336704176274,N
45.0,0.005016671768501414,0.06338494618485054,0.05585990164763279,0.002889470405355649,0.00045206933352749293,0.019442050847457627,0.04088586440677966,0.06056615254237289,0.019442050847457627,0.003297210989078806,N
